unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1750071600,2025-06-16 11:00:00,ADA/USD,0.64183,0.64729,0.63991,0.64653,39296.23289978,25406.193456694764
1750068000,2025-06-16 10:00:00,ADA/USD,0.64455,0.64635,0.64274,0.64296,55382.62562043,35608.81296891167
1750064400,2025-06-16 09:00:00,ADA/USD,0.64756,0.64756,0.64487,0.64487,79355.41590363,51173.92705377388
1750060800,2025-06-16 08:00:00,ADA/USD,0.64977,0.64977,0.64657,0.64686,65950.30393467,42660.61360318063
1750057200,2025-06-16 07:00:00,ADA/USD,0.64455,0.65029,0.64455,0.64904,80712.51474011,52385.65056692099
1750053600,2025-06-16 06:00:00,ADA/USD,0.64402,0.64541,0.64321,0.64403,67825.77859579,43681.83618904663
1750050000,2025-06-16 05:00:00,ADA/USD,0.64143,0.64567,0.64047,0.64556,43903.21704359,28342.160794659958
1750046400,2025-06-16 04:00:00,ADA/USD,0.63702,0.64148,0.63702,0.64130,151264.05986468,97005.64159121928
1750042800,2025-06-16 03:00:00,ADA/USD,0.63770,0.63994,0.63694,0.63694,7359.00000000,4687.241459999999
1750039200,2025-06-16 02:00:00,ADA/USD,0.63763,0.64056,0.63709,0.63782,49551.63498126,31605.02382374726
1750035600,2025-06-16 01:00:00,ADA/USD,0.63101,0.63731,0.62661,0.63731,90047.59012616,57388.22966330303
1750032000,2025-06-16 00:00:00,ADA/USD,0.63363,0.63363,0.63097,0.63110,56499.49388411,35656.83059026182
1750028400,2025-06-15 23:00:00,ADA/USD,0.63301,0.63450,0.63215,0.63318,120890.19099849,76545.25113642389
1750024800,2025-06-15 22:00:00,ADA/USD,0.62665,0.63377,0.62665,0.63285,37888.09965326,23977.48386556559
1750021200,2025-06-15 21:00:00,ADA/USD,0.62338,0.62670,0.62119,0.62666,25810.12414415,16174.172396173039
1750017600,2025-06-15 20:00:00,ADA/USD,0.62970,0.62979,0.62114,0.62298,48794.77197440,30398.16704461171
1750014000,2025-06-15 19:00:00,ADA/USD,0.63056,0.63235,0.62788,0.62847,43792.81929801,27522.473144220345
1750010400,2025-06-15 18:00:00,ADA/USD,0.63004,0.63077,0.62792,0.63077,99658.07091315,62861.321389887635
1750006800,2025-06-15 17:00:00,ADA/USD,0.63053,0.63192,0.62860,0.63065,26720.79606263,16851.470036897612
1750003200,2025-06-15 16:00:00,ADA/USD,0.63116,0.63161,0.62929,0.63032,94357.52814373,59475.43713955589
1749999600,2025-06-15 15:00:00,ADA/USD,0.63523,0.63523,0.63000,0.63000,87676.40871835,55236.1374925605
1749996000,2025-06-15 14:00:00,ADA/USD,0.63080,0.63602,0.62865,0.63494,74971.52854152,47602.42233215271
1749992400,2025-06-15 13:00:00,ADA/USD,0.63027,0.63189,0.62955,0.63188,36654.12830085,23161.0105907411
1749988800,2025-06-15 12:00:00,ADA/USD,0.62704,0.62998,0.62697,0.62983,42843.83762390,26984.334250660937
1749985200,2025-06-15 11:00:00,ADA/USD,0.62740,0.62838,0.62416,0.62703,38215.91833261,23962.52727209645
1749981600,2025-06-15 10:00:00,ADA/USD,0.62337,0.62772,0.62330,0.62772,37975.59861154,23838.04276043589
1749978000,2025-06-15 09:00:00,ADA/USD,0.62629,0.62639,0.62161,0.62223,61527.91751245,38284.516113771766
1749974400,2025-06-15 08:00:00,ADA/USD,0.62750,0.62750,0.62586,0.62636,23221.26340894,14544.87054882366
1749970800,2025-06-15 07:00:00,ADA/USD,0.62976,0.62977,0.62848,0.62848,42927.16872497,26978.867000269147
1749967200,2025-06-15 06:00:00,ADA/USD,0.63355,0.63464,0.63044,0.63148,75959.25745670,47966.75189875692
1749963600,2025-06-15 05:00:00,ADA/USD,0.63149,0.63415,0.62982,0.63366,8309.77689928,5265.573229997764
1749960000,2025-06-15 04:00:00,ADA/USD,0.63055,0.63111,0.63041,0.63079,22421.93097577,14143.529840205956
1749956400,2025-06-15 03:00:00,ADA/USD,0.62814,0.62848,0.62796,0.62796,30019.05815037,18850.767756106346
1749952800,2025-06-15 02:00:00,ADA/USD,0.62700,0.62807,0.62686,0.62687,9083.95195000,5694.4569588965005
1749949200,2025-06-15 01:00:00,ADA/USD,0.62719,0.62719,0.62401,0.62509,32215.48453051,20137.577225176497
1749945600,2025-06-15 00:00:00,ADA/USD,0.62484,0.62690,0.62484,0.62683,55795.40775408,34974.23544248997
1749942000,2025-06-14 23:00:00,ADA/USD,0.62465,0.62543,0.62465,0.62523,62953.92628290,39360.683329857566
1749938400,2025-06-14 22:00:00,ADA/USD,0.62550,0.62561,0.62259,0.62308,30732.80919031,19148.998750298353
1749934800,2025-06-14 21:00:00,ADA/USD,0.61843,0.62616,0.61843,0.62552,9170.53811962,5736.355004584701
1749931200,2025-06-14 20:00:00,ADA/USD,0.61920,0.61956,0.61438,0.61786,36599.34086586,22613.268747380258
1749927600,2025-06-14 19:00:00,ADA/USD,0.62075,0.62337,0.61974,0.61974,37699.34196479,23363.790189258954
1749924000,2025-06-14 18:00:00,ADA/USD,0.62462,0.62482,0.61680,0.61890,121437.21079812,75157.48976295647
1749920400,2025-06-14 17:00:00,ADA/USD,0.61813,0.62430,0.61733,0.62236,51484.64394713,32041.983006935825
1749916800,2025-06-14 16:00:00,ADA/USD,0.62914,0.63014,0.61529,0.61774,133685.40039496,82582.81923998258
1749913200,2025-06-14 15:00:00,ADA/USD,0.63185,0.63277,0.62668,0.62765,80654.35150021,50622.70371910681
1749909600,2025-06-14 14:00:00,ADA/USD,0.63434,0.63434,0.63147,0.63189,18064.66916922,11414.883801338425
1749906000,2025-06-14 13:00:00,ADA/USD,0.63736,0.63736,0.63442,0.63443,5304.58230169,3365.386149661187
1749902400,2025-06-14 12:00:00,ADA/USD,0.63512,0.63513,0.63310,0.63417,30224.02721590,19167.171339507306
1749898800,2025-06-14 11:00:00,ADA/USD,0.63691,0.63757,0.63490,0.63626,13721.75641938,8730.60473939472
1749895200,2025-06-14 10:00:00,ADA/USD,0.63322,0.63645,0.63322,0.63605,37385.95427239,23779.33621495366
1749891600,2025-06-14 09:00:00,ADA/USD,0.63545,0.63561,0.63250,0.63251,34614.31897964,21893.902897812095
1749888000,2025-06-14 08:00:00,ADA/USD,0.63566,0.63716,0.63447,0.63611,24152.59311399,15363.706005740178
1749884400,2025-06-14 07:00:00,ADA/USD,0.63661,0.63775,0.63327,0.63705,47807.39001052,30455.697806201766
1749880800,2025-06-14 06:00:00,ADA/USD,0.63858,0.63889,0.63538,0.63684,62609.74953813,39872.39289586271
1749877200,2025-06-14 05:00:00,ADA/USD,0.63863,0.63879,0.63679,0.63813,24388.63140567,15563.117358900196
1749873600,2025-06-14 04:00:00,ADA/USD,0.63654,0.63894,0.63654,0.63870,30644.72824705,19572.787931390834
1749870000,2025-06-14 03:00:00,ADA/USD,0.63503,0.63777,0.63503,0.63613,5841.88630457,3716.199134926114
1749866400,2025-06-14 02:00:00,ADA/USD,0.63716,0.63776,0.63399,0.63569,30087.71227624,19126.457816883005
1749862800,2025-06-14 01:00:00,ADA/USD,0.63692,0.63722,0.63596,0.63717,22041.05993631,14043.902159618643
1749859200,2025-06-14 00:00:00,ADA/USD,0.64146,0.64191,0.63873,0.63897,119334.45460172,76251.13645686103
1749855600,2025-06-13 23:00:00,ADA/USD,0.63953,0.64218,0.63951,0.64164,32464.85786466,20830.751400280442
1749852000,2025-06-13 22:00:00,ADA/USD,0.63975,0.64104,0.63739,0.63920,22364.94825343,14295.674923592456
1749848400,2025-06-13 21:00:00,ADA/USD,0.63720,0.63905,0.63588,0.63905,41157.72481493,26301.844042981018
1749844800,2025-06-13 20:00:00,ADA/USD,0.63259,0.63780,0.63213,0.63540,48640.44871418,30906.141112989968
1749841200,2025-06-13 19:00:00,ADA/USD,0.63213,0.63439,0.63133,0.63230,80197.77337056,50709.05210220508
1749837600,2025-06-13 18:00:00,ADA/USD,0.63532,0.63532,0.62903,0.63258,48004.92981219,30366.958500595152
1749834000,2025-06-13 17:00:00,ADA/USD,0.64103,0.64112,0.63284,0.63781,85448.33347648,54499.801574633704
1749830400,2025-06-13 16:00:00,ADA/USD,0.63818,0.64422,0.63710,0.64192,153888.16239453,98783.8892042967
1749826800,2025-06-13 15:00:00,ADA/USD,0.63584,0.64066,0.63573,0.63744,143124.68061359,91233.39641032681
1749823200,2025-06-13 14:00:00,ADA/USD,0.63692,0.64019,0.62949,0.63445,166901.04513588,105890.36808645906
1749819600,2025-06-13 13:00:00,ADA/USD,0.63749,0.64192,0.63658,0.63670,50963.11327890,32448.21422467563
1749816000,2025-06-13 12:00:00,ADA/USD,0.64020,0.64385,0.63799,0.63799,41253.84370096,26319.53974277547
1749812400,2025-06-13 11:00:00,ADA/USD,0.63688,0.64186,0.63597,0.64154,6168.04454655,3957.047298393687
1749808800,2025-06-13 10:00:00,ADA/USD,0.63415,0.63855,0.63333,0.63855,121237.09584776,77415.94755358715
1749805200,2025-06-13 09:00:00,ADA/USD,0.63595,0.63595,0.63099,0.63376,180392.03061029,114325.25331957739
1749801600,2025-06-13 08:00:00,ADA/USD,0.63614,0.64210,0.63352,0.63615,48733.73621821,31001.96629521429
1749798000,2025-06-13 07:00:00,ADA/USD,0.63550,0.63738,0.63114,0.63610,156642.07429240,99640.02345739564
1749794400,2025-06-13 06:00:00,ADA/USD,0.63157,0.63487,0.62685,0.63487,105321.93275309,66865.73544695426
1749790800,2025-06-13 05:00:00,ADA/USD,0.63096,0.63443,0.63006,0.63288,91666.17905792,58013.69140217641
1749787200,2025-06-13 04:00:00,ADA/USD,0.63352,0.63433,0.62815,0.63251,104202.78569310,65909.30397874268
