unix,date,symbol,open,high,low,close,Volume ALGO,Volume BTC
1716940800,2024-05-29 00:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716937200,2024-05-28 23:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716933600,2024-05-28 22:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716930000,2024-05-28 21:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716926400,2024-05-28 20:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716922800,2024-05-28 19:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716919200,2024-05-28 18:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716915600,2024-05-28 17:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716912000,2024-05-28 16:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716908400,2024-05-28 15:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716904800,2024-05-28 14:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716901200,2024-05-28 13:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716897600,2024-05-28 12:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716894000,2024-05-28 11:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716890400,2024-05-28 10:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716886800,2024-05-28 09:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716883200,2024-05-28 08:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
1716879600,2024-05-28 07:00:00,ALGO/BTC,0.00000285,0.00000285,0.00000285,0.00000285,0.00000000,0.0
